regime,model_a,model_b,seed,dof,horizon_samples,horizon_s,skill_diff,ci_lo,ci_hi,n_realizations,n_boot,ci_level,bootstrap_seed
id,tcn,dlinear_ols,2,roll,100,10.0,0.1885818565879569,0.18141913155887615,0.1973471616024248,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,150,15.0,0.18653517740252773,0.17832469407722476,0.1954422580859359,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,10,1.0,-0.002757707225986406,-0.0029110941982546656,-0.002614286569621344,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,20,2.0,-5.5032330912895905e-05,-0.0005875271737027923,0.0005604559462958193,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,30,3.0,0.016084675396926085,0.013112664439656502,0.019524345432182583,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,50,5.0,0.037845896613457976,0.03366207187441212,0.04303270161369461,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,100,10.0,0.251098029319847,0.23689773101202333,0.26569614177390094,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,150,15.0,0.19597923252767285,0.17765922647900123,0.21605803247345276,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,10,1.0,-0.0018791906761533733,-0.002001378539318995,-0.0017702028809076708,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,20,2.0,-0.00018995968456622097,-0.0003971711258801908,3.968808053711587e-05,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,30,3.0,0.006819274044775174,0.00514995957711293,0.008627660084789678,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,50,5.0,0.03221519075507727,0.02410106021312122,0.04105147396078536,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,100,10.0,0.3342808599543837,0.28468404688039095,0.3819822312235681,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,150,15.0,0.23537475723495274,0.2004484582275959,0.2748829267776402,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,10,1.0,1.6355432492532662,1.6154261508804093,1.6532055637926146,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,20,2.0,0.96995724018027,0.9578195865036526,0.9808490280786333,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,30,3.0,0.6137991628845759,0.6061957085914658,0.6208220838139175,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,50,5.0,0.30595897164480423,0.3029219728940171,0.30889430136262,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,100,10.0,0.7946339861204803,0.7631797104970717,0.8292681640438083,384,1000,0.95,0
