control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,20,2.0,-0.038879553267390676,-0.03876091125188985,-0.00011421494033481139,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,30,3.0,0.4595299352317208,0.45773740357859016,0.003305652399704928,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,50,5.0,0.7055692193160698,0.7061096351813037,-0.0018388349191620357,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,100,10.0,0.11837018220184314,0.11765761522290241,0.0008075855713547408,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,150,15.0,0.47259676840169396,0.4719495750502716,0.0012256279340822074,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,10,1.0,-0.7356837272548955,-0.7339273841916951,-0.0010129276919050856,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,20,2.0,0.4514281669317014,0.4516195815578463,-0.00034905445144928215,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,30,3.0,0.6573019088762331,0.658205290167222,-0.0026430522913325483,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,50,5.0,0.6705419917688233,0.6707676181071134,-0.0006853102875021833,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,100,10.0,0.40454953975785946,0.40303516583400956,0.0025367891660914577,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,150,15.0,0.5221430126041262,0.521377656295484,0.0015990818621595126,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,10,1.0,-1.9072084976156587,-1.9119946888929213,0.001643612639651626,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,20,2.0,0.16112637705195687,0.15924739124678777,0.002234885489032834,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,30,3.0,0.544629764408049,0.5461115391463327,-0.003264623065095673,0.02,True,True,True
