control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed,shuffle_seed
shuffle,unseen_heading,shuffled,window_mean,roll_rate,100,10.0,-0.07188452469332218,-0.0755047164486311,0.0033660398694139726,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll_rate,150,15.0,0.46741255716075736,0.46506100854835863,0.004395919254301162,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,10,1.0,-0.9168984518726511,-1.042437315258514,0.06146522218723438,0.02,False,303
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,20,2.0,0.36803709922802696,0.3363170243193009,0.047794016226184954,0.02,False,303
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,30,3.0,0.5730585355376274,0.6106437860044811,-0.09653178533137852,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,50,5.0,0.7131103493703728,0.7076718592244347,0.018604059573291365,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,100,10.0,0.322776182096406,0.33465622576060317,-0.01785549684864507,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,150,15.0,0.5090629496304391,0.5120663439428355,-0.006155333363691007,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave_rate,10,1.0,-2.335981780834758,-2.3561851237497904,0.006019734362108009,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave_rate,20,2.0,0.04475941121103677,0.03387594495282398,0.011265081540363209,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave_rate,30,3.0,0.4977247438949206,0.49586385035358727,0.0036912519418386136,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave_rate,50,5.0,0.7260039839798501,0.7276649948576983,-0.006099145708353904,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave_rate,100,10.0,-0.015301060271178502,-0.01199284769492115,-0.003269007862844786,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave_rate,150,15.0,0.5225927238284216,0.5228773563556022,-0.0005965605090685333,0.02,True,303
