experiment,model,train_seed,regime,observation_mode,threshold_set,rule,group_level,ss,heading_deg,speed_kn,scorable,base_rate,n_true_onsets,n_pred_onsets,n_matched,precision,recall,f1,f1_ci_lo,f1_ci_hi,n_boot,ci_level,bootstrap_seed,false_alarms_per_min,lead_p10,lead_p50,lead_p90,n_realizations,duration_s,n_excluded_true,n_excluded_pred
deep,ar10,0,id,ideal,strict,point,cell,SS4,90.0,6.0,True,0.5026724137931035,179,3233,166,0.05134549953603464,0.9273743016759777,0.09730363423212192,0.09127351218008017,0.10344827586206896,1000,0.95,0,39.65948275862069,0.8500000000000001,2.3,6.15,8,4640.0,11,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,90.0,12.0,True,0.4988146551724138,150,2930,140,0.04778156996587031,0.9333333333333333,0.09090909090909091,0.0811411651022642,0.10378305992634751,1000,0.95,0,36.077586206896555,0.7,2.2,7.240000000000004,8,4640.0,12,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,135.0,0.0,True,0.4441594827586207,142,4012,141,0.03514456630109671,0.9929577464788732,0.06788637457871931,0.05976771426084066,0.07515433527372005,1000,0.95,0,50.05603448275862,0.9,2.7,7.8,8,4640.0,10,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,135.0,6.0,True,0.5642241379310344,131,3216,131,0.040733830845771146,1.0,0.07827905587092919,0.07166853303471445,0.0847723704866562,1000,0.95,0,39.89224137931034,0.8,2.1,6.6,8,4640.0,10,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,135.0,12.0,True,0.682478448275862,130,3028,121,0.039960369881109646,0.9307692307692308,0.07663077897403421,0.07172394634916385,0.08157993501778657,1000,0.95,0,37.59051724137931,0.6,1.8,7.7,8,4640.0,13,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,180.0,0.0,True,0.33112068965517244,131,4822,131,0.02716715055993364,1.0,0.05289723399959621,0.04791570684618663,0.05841563099552909,1000,0.95,0,60.65948275862069,0.9,2.1,7.1,8,4640.0,6,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,180.0,6.0,True,0.3895474137931034,152,4652,152,0.03267411865864144,1.0,0.06328059950041631,0.06000713474462277,0.06683141322692296,1000,0.95,0,58.189655172413794,1.0,1.8,5.9,8,4640.0,11,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,180.0,12.0,True,0.5200646551724138,175,5282,163,0.0308595229079894,0.9314285714285714,0.05973978376397288,0.053894317300646664,0.06546506346459642,1000,0.95,0,66.19396551724138,0.4,1.8,8.540000000000003,8,4640.0,12,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,45.0,0.0,True,0.06829741379310345,45,2244,43,0.019162210338680926,0.9555555555555556,0.03757099169943206,0.028285370558202082,0.0479883245846235,1000,0.95,0,28.461206896551722,0.74,2.4,7.920000000000002,8,4640.0,3,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,45.0,6.0,True,0.017780172413793104,19,585,18,0.03076923076923077,0.9473684210526315,0.059602649006622516,0.025591678265702047,0.08696082651743435,1000,0.95,0,7.331896551724138,1.24,2.6,7.460000000000002,8,4640.0,0,0
