experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,phase_lag_s,phase_lag_raw_s,phase_lag_std_s,dominant_period_s,phase_lag_identified,n_realizations_phase,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
deep,transformer,heave_rate,30,3.0,434304,0.04067527868310116,0.025987324479596688,0.7216245802205107,0.9968228447379864,0.4496495382799816,0.09045995874630262,384,0.9966210672859931,0.9970232678882994,id,0.004316625702341748,0.006249999999999999,0.04890915558205863,8.5,True,32,2,False,2712708,,,,,mse
deep,transformer,heave_rate,50,5.0,434304,0.057692818823248886,0.036313732972240324,0.8524864976952896,0.9954199681367474,0.44959255402628673,0.1283224517545629,384,0.9950586017195592,0.9957659244186678,id,-0.009053935350203608,0.0,0.04733748968217648,8.5,True,32,2,False,2712708,,,,,mse
deep,transformer,heave_rate,100,10.0,434304,0.1857246439603264,0.11260394787487926,0.47861232963563727,0.8494186091560345,0.4493860488108614,0.41328529101377287,384,0.8344424152344571,0.8630808667656166,id,1.315631557646194,1.3124999999999998,2.7444203723639227,8.525,True,32,2,False,2712708,,,,,mse
deep,transformer,heave_rate,150,15.0,434304,0.31064920335234103,0.1948781736705936,0.6814233587032514,0.7921708531271692,0.44913945544323325,0.6916542280743893,384,0.7819351562039798,0.802341512692649,id,6.503921221796709,6.50625,3.8966166042259354,8.55,False,32,2,False,2712708,,,,,mse
deep,lstm,roll,10,1.0,434304,0.1530726074565214,0.09996009191601954,1.9446628367671026,0.9938040724524009,3.682816873957597,0.041564001875561044,384,0.9928241119195351,0.9945851937476793,id,0.344361400486191,0.33749999999999997,1.6743457311780725,9.475000000000001,True,32,0,False,317828,,,,,mse
deep,lstm,roll,20,2.0,434304,0.16126497354742597,0.10482078146353449,3.7444545258092843,0.9981451748415305,3.683691963859013,0.04377808327341404,384,0.9978819122842737,0.9983553125488974,id,-0.06874791697408617,-0.07500000000000001,0.26257616220171204,9.475000000000001,True,32,0,False,317828,,,,,mse
deep,lstm,roll,30,3.0,434304,0.17333701519881414,0.11242650129144191,5.26736094690192,0.9989170797650481,3.6845301229084004,0.047044537408202754,384,0.9987778258562908,0.9990269868317461,id,0.2142375231919882,0.203125,1.1092342541917566,9.475000000000001,True,32,0,False,317828,,,,,mse
deep,lstm,roll,50,5.0,434304,0.18202315534641614,0.12202698525875022,7.0875605548865055,0.9993404317947203,3.685983647312865,0.049382518416519194,384,0.9992552046268586,0.9994056463479672,id,0.8711395288033932,0.86875,3.003789543688128,9.475000000000001,True,32,0,False,317828,,,,,mse
deep,lstm,roll,100,10.0,434304,0.39865020637509485,0.23533646568016656,3.793711335438843,0.9889578047517603,3.6900743810329235,0.10803310860728636,384,0.9875299012792362,0.9902394466515881,id,1.4082397367488042,1.4093749999999998,4.204916360085965,9.45,True,32,0,False,317828,,,,,mse
deep,lstm,roll,150,15.0,434304,0.8487197768522645,0.48932127502235934,5.251935256462554,0.97388500679853,3.6937274583324062,0.2297732538272959,384,0.9718067841583674,0.9758671266883445,id,2.797806606596538,2.7968750000000004,6.365210979488628,9.475,False,32,0,False,317828,,,,,mse
