experiment,model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
probabilistic,dlinear_quantile,quantile,384,pitch,30,3.0,434304,9,0.1,0.8597848511641615,1.1709220841815864,2.250554192590221,0.21337490902179276,0.10668745451089633,0.21337588417329797,0.8423832154435602,0.8763657484158562,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,50,5.0,434304,9,0.1,0.8596282788093133,1.4232672013948289,2.689000071831333,0.25584585814634214,0.12792292907317104,0.0510402851458886,0.8424322018678161,0.8760253762341585,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,100,10.0,434304,9,0.1,0.8573441644562334,3.007084581604652,5.506183673681117,0.553170350954748,0.27658517547737393,0.001075283672266431,0.8410176972811672,0.8736919300766283,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,150,15.0,434304,9,0.1,0.8756378020925435,3.735152130185361,6.218502084208156,0.6275508442776793,0.3137754221388398,0.0,0.8610073819260241,0.8903252099911583,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,10,1.0,434304,9,0.1,0.9394939949896847,0.05024404668101288,0.06721883908081118,0.005120544180950531,0.0025602720904752663,0.4473018899204244,0.9285315700523136,0.950878647214854,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,20,2.0,434304,9,0.1,0.9194642462422635,0.30756110019003946,0.4766709329882869,0.0368215243641246,0.018410762182062283,0.3285371536987916,0.9056138096816977,0.9335605359379605,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,30,3.0,434304,9,0.1,0.901771570144415,0.7090827707754602,1.2585482168812336,0.1049468662729867,0.05247343313649336,0.10014183613321544,0.8857257243773947,0.9179789387157383,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,50,5.0,434304,9,0.1,0.9004591254052461,0.8665306918443756,1.5280390232009624,0.1419287706604791,0.07096438533023955,0.04125221043324492,0.8846429574675804,0.9165224128720896,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,100,10.0,434304,9,0.1,0.9010163387857353,1.8268164782488021,2.813904589757861,0.2834720275982441,0.141736013799122,0.0035827438844680225,0.8872694587201592,0.9150965683023872,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,150,15.0,434304,9,0.1,0.8859669724432655,2.268380022572285,3.7143141077130206,0.3788496648466322,0.1894248324233162,0.0002947244326554671,0.8708131861553198,0.9014755793177129,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,10,1.0,434304,9,0.1,0.9760651525198939,0.12956208240665465,0.13681330101095537,0.007836390948517832,0.0039181954742589144,0.3474616858237548,0.9711556306181846,0.9817480958038609,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,20,2.0,434304,9,0.1,0.9721093980253463,0.7929101364118145,0.8645902817900716,0.05298952281279067,0.026494761406395336,0.2576674403183024,0.9662255010315355,0.9786028334991159,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,30,3.0,434304,9,0.1,0.9637258694370764,1.8279476856781935,2.075215818520599,0.1418487693221987,0.07092438466109932,0.05861332154435603,0.956546221080165,0.971834935897436,id,1,False,542700,,,,,pinball
