control,experiment,arm,regime,dof,horizon_samples,horizon_s,rmse_pipeline,rmse_raw,rel_diff,max_rel_diff,rtol,n_windows,model_matches_inline,asserted,enforced,passed
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch_rate,50,5.0,2.1782901830896133,2.1782901598686335,1.0660186706747965e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave_rate,50,5.0,1.400196130160051,1.4001961119492283,1.3005908581119885e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll,100,10.0,6.564312971817235,6.564312784027254,2.860771372074159e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch,100,10.0,2.143658791850194,2.1436588066099866,6.885327298265622e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave,100,10.0,1.4729533570974975,1.4729533632100278,4.149846432616478e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll_rate,100,10.0,3.340032107062805,3.3400320897348754,5.187953077152062e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch_rate,100,10.0,1.6285110055761114,1.6285109886267175,1.0407908823939353e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave_rate,100,10.0,0.7683267155268426,0.7683267045308247,1.4311643483400209e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll,150,15.0,8.75853448198136,8.758534298559773,2.094204132787412e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch,150,15.0,2.6262925411260283,2.6262925582470835,6.51909673446189e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave,150,15.0,1.8518455844343986,1.851845591159549,3.6315935133265126e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll_rate,150,15.0,4.761033763481861,4.761033745328232,3.8129594943991e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch_rate,150,15.0,1.823416930385294,1.8234169111605443,1.054325517901758e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave_rate,150,15.0,1.1070364457814423,1.107036431547142,1.2858023457405869e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll,10,1.0,2.6983944245266525,2.6983944350622857,3.904408161315173e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch,10,1.0,0.06419259662781149,0.0641925959386872,1.0735261214107387e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave,10,1.0,0.44200229121718926,0.4420022912246452,1.6868520626481846e-11,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll_rate,10,1.0,1.496522501470165,1.4965224942404276,4.831024928245773e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch_rate,10,1.0,0.048713604504301795,0.04871360515397991,1.3336687252074519e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave_rate,10,1.0,0.27069553360318627,0.27069553591319007,8.533586605195762e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll,20,2.0,5.190916962419289,5.190916991000554,5.506014718398252e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch,20,2.0,0.11932084125098234,0.11932083976005285,1.24951307246516e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave,20,2.0,0.8430990469182522,0.8430990468138885,1.237858591665141e-10,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll_rate,20,2.0,2.8697293428401145,2.8697293231990693,6.844215263050982e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch_rate,20,2.0,0.08950370896827589,0.08950371033100679,1.5225412391344274e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave_rate,20,2.0,0.5128966944233829,0.5128966998688443,1.0617072436835008e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll,30,3.0,7.291040350044857,7.2910403944774025,6.0941296768081674e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch,30,3.0,0.15813237916118536,0.15813237707694291,1.318036498170916e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave,30,3.0,1.167564761237511,1.167564761033709,1.7455313239992648e-10,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll_rate,30,3.0,4.009794369262813,4.009794338846377,7.585535072898382e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch_rate,30,3.0,0.11622431341673266,0.11622431527387127,1.5978916332491216e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave_rate,30,3.0,0.7022072703117962,0.7022072783211224,1.1405928775634553e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll,50,5.0,9.760557504618554,9.760557570003641,6.698909063087324e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch,50,5.0,0.1746973197118489,0.17469731726512516,1.4005502652144334e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave,50,5.0,1.4948282817238847,1.4948282813791909,2.3059092026089276e-10,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll_rate,50,5.0,5.284985269083278,5.284985224899723,8.360204163448406e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch_rate,50,5.0,0.11920509784710412,0.11920509986440123,1.6922909417736492e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave_rate,50,5.0,0.8646383854849524,0.8646383961126907,1.2291540941030353e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll,100,10.0,5.027189765071494,5.0271898072552546,8.391121501683597e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch,100,10.0,0.10629142969612394,0.10629142820794063,1.400097202364166e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave,100,10.0,0.8088824182229798,0.8088824179029431,3.9565288693805207e-10,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll_rate,100,10.0,2.6414823846180955,2.6414823569386616,1.0478750230285037e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch_rate,100,10.0,0.08388137237286494,0.08388137374981554,1.6415451174153703e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave_rate,100,10.0,0.4403061165004962,0.44030612255968604,1.3761311746767066e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll,150,15.0,7.374083593142129,7.374083639075876,6.229078719543886e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch,150,15.0,0.13931379277972403,0.13931379085331264,1.3827858532295362e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave,150,15.0,1.1495384155708204,1.1495384153338548,2.061397471592655e-10,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,roll_rate,150,15.0,4.093644534759904,4.093644502818187,7.80275786162864e-09,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,pitch_rate,150,15.0,0.09488319751212972,0.09488319908873122,1.6616234668211778e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_heading,heave_rate,150,15.0,0.6915545637401949,0.6915545720471638,1.2012022226888415e-08,2.991212522659039e-08,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll,10,1.0,0.9927495999887512,0.9927496006139561,6.29770978980121e-10,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,pitch,10,1.0,0.6873843669058662,0.6873843757489887,1.2864887199232403e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,heave,10,1.0,0.36137338592133783,0.3613733827661378,8.731135706585879e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll_rate,10,1.0,0.47796654830311025,0.4779665479358348,7.684124210686602e-10,6.203957677473511e-08,1e-06,434304,True,True,True,True
