model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,sse,sae,sse_persistence,regime
ar40,0,s175,SS5,45.0,12.0,pitch_rate_imu,50,5.0,8,9048,0.5895192977535479,0.47406947722357284,0.9869050085702075,0.6431831571008589,3144.4786059308713,4289.380629918887,8812.584575273817,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_rate_imu,100,10.0,8,9048,0.7225927724890265,0.5750783376368144,0.7131832982138474,-0.026561325384025114,4724.325568793365,5203.308798937896,4602.088011669491,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_rate_imu,150,15.0,8,9048,0.5643633737265741,0.4495943269674503,0.522318785087928,-0.16747167103046978,2881.84244728136,4067.92947040149,2468.4474311378362,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_imu,10,1.0,8,9048,0.03840267140702528,0.03068312066533108,1.9591630081866587,0.9996157784423165,13.343675268981022,277.6208757799156,34729.11657907003,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_imu,20,2.0,8,9048,0.12387102078029084,0.09891499018689025,3.8169712020320796,0.9989468222720267,138.83278153224046,894.9828312109829,131822.7473338228,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_imu,30,3.0,8,9048,0.3029131133951343,0.24077276255373908,5.477859701400997,0.9969421629415568,830.2114934054048,2178.511955586231,271502.85562569235,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_imu,50,5.0,8,9048,1.043959282917659,0.8282415677463029,7.881920897248779,0.9824570358111461,9860.971706760292,7493.929704968548,562104.0777718464,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_imu,100,10.0,8,9048,3.062195284222363,2.4634134692955976,6.70211180407186,0.791242335333535,84843.45754644136,22288.965070186565,406420.8022349597,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_imu,150,15.0,8,9048,3.6046554554805805,2.8933757350179117,2.6670724277560067,-0.8266607632889129,117565.55854026404,26179.263650442066,64360.91523014191,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_rate_imu,10,1.0,8,9048,0.0586110103455982,0.04686458712300249,0.8939398194369652,0.9957012533525271,31.0821468292055,424.0307842889265,7230.513770212145,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_rate_imu,20,2.0,8,9048,0.13775099939770527,0.10959213938171716,1.7405660088492092,0.9937366234680526,171.6888567316826,991.5896771257769,27411.54964194713,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_rate_imu,30,3.0,8,9048,0.25455354280790804,0.2012586611828812,2.4963500284327433,0.9896020594289818,586.2878357000079,1820.988366382709,56384.99582639932,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_rate_imu,50,5.0,8,9048,0.6081200247681313,0.486019344633754,3.58416774077823,0.9712126322559649,3346.040559013086,4397.503030246206,116232.94594923161,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_rate_imu,100,10.0,8,9048,1.0562687031168305,0.8390057789028156,3.002177388375328,0.8762126902211079,10094.885930169836,7591.324287512675,81550.24895687,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,roll_rate_imu,150,15.0,8,9048,1.43219571989275,1.1448455198485878,1.2733516662966307,-0.26505096167871445,18559.11808055581,10358.562263590024,14670.648568914552,unseen_vessel
ar_attitude_only,0,s175,SS5,45.0,12.0,heave_imu,10,1.0,8,9048,0.0046849687732587126,0.00375024561511547,0.19706880151338968,0.9994348318877309,0.19859394041319087,33.93222232556477,351.38914617075034,unseen_vessel
ar_attitude_only,0,s175,SS5,45.0,12.0,heave_imu,20,2.0,8,9048,0.026020487171063568,0.020710255923090545,0.3839228983756254,0.9954065095725287,6.126090929701089,187.38639559212325,1333.6461730853298,unseen_vessel
ar_attitude_only,0,s175,SS5,45.0,12.0,heave_imu,30,3.0,8,9048,0.0836926551009997,0.06642334984570177,0.5508015268905749,0.9769121006421793,63.37635876555106,600.9984694039096,2745.0032496820977,unseen_vessel
ar_attitude_only,0,s175,SS5,45.0,12.0,heave_imu,50,5.0,8,9048,0.322371110326526,0.2565528467249382,0.7915477770589315,0.834133774078533,940.2965053315263,2321.290157167241,5669.0052487040375,unseen_vessel
ar_attitude_only,0,s175,SS5,45.0,12.0,heave_imu,100,10.0,8,9048,0.2531110203439923,0.20289069381671573,0.672761657927758,0.8584533338727095,579.6618266299315,1835.754997653644,4095.199431321481,unseen_vessel
ar_attitude_only,0,s175,SS5,45.0,12.0,heave_imu,150,15.0,8,9048,0.3127947930583689,0.24946586136366675,0.30830344893752776,-0.02934809154757856,885.2615910429428,2257.167113618457,860.0215984390584,unseen_vessel
ar_attitude_only,0,s175,SS5,45.0,12.0,heave_rate_imu,10,1.0,8,9048,0.04667131173521567,0.03708627285760623,0.09190853750905768,0.7421374318902813,19.708456196047237,335.5565968156212,76.43007800830334,unseen_vessel
