regime,grid_kind,ss,heading_deg,speed_kn,model,record,threshold_set,rule,scorable,base_rate,always_yes_sample_f1,n_onsets_true,n_onsets_pred,n_matched,precision,recall,f1,false_alarms_per_min,lead_p10,median_lead_time_s,lead_p90,n_onsets_true_raw,n_excluded_true,n_excluded_pred,n_windows,duration_s,peak_roll_deg,peak_pitch_deg,peak_heave_rate_mps,roll_limit_deg,pitch_limit_deg,heave_rate_limit_mps,sustain_s,n_records
unseen_vessel,mss,SS5,180.0,0.0,lstm|0,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,162,0,,,,16.75862068965517,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|0,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,168,7,0.041666666666666664,0.4117647058823529,0.07567567567567567,16.655172413793103,0.44000000000000006,1.2,7.380000000000001,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|0,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,118,0,,,,12.206896551724139,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|0,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,193,5,0.025906735751295335,0.45454545454545453,0.049019607843137254,19.448275862068964,0.26,2.1,6.48,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|1,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,180,0,,,,18.620689655172413,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|1,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,237,10,0.04219409282700422,0.7692307692307693,0.07999999999999999,23.482758620689655,0.49,4.95,10.96,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|1,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,238,0,,,,24.620689655172413,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|1,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,213,11,0.051643192488262914,0.6470588235294118,0.0956521739130435,20.896551724137932,0.7,8.5,11.9,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|1,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,202,0,,,,20.896551724137932,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|1,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,261,6,0.022988505747126436,0.5454545454545454,0.04411764705882353,26.379310344827587,0.55,4.6,10.2,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
