regime,model,seed,dof,horizon_samples,gamma,gamma_realization,alpha,n_windows_total,n_windows_used,n_realizations,window_stride,order_index,n_degenerate_cells,fitted_on,norm_stats_fitted_on,calibration_time_s
id,dlinear_quantile,2,pitch,30,1.2717933654785156,0.8493987321853638,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave,30,0.970839262008667,0.6722336411476135,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll_rate,30,0.5402157306671143,0.38329049944877625,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch_rate,30,1.627091407775879,1.217490553855896,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave_rate,30,0.9617902636528015,0.5599575638771057,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll,50,0.5348396301269531,0.4364757239818573,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch,50,1.2339329719543457,0.8525358140468597,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave,50,0.971733570098877,0.6745960712432861,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll_rate,50,0.5718910098075867,0.42731426656246185,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch_rate,50,1.5869601964950562,1.199837327003479,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave_rate,50,0.9815881848335266,0.6186487376689911,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll,100,0.5959622263908386,0.45043042302131653,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch,100,1.234466552734375,0.8682013750076294,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave,100,0.9885405898094177,0.6445537805557251,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll_rate,100,0.6426896452903748,0.45704254508018494,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch_rate,100,1.3811880350112915,0.9775718450546265,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave_rate,100,1.046230435371399,0.6635732650756836,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll,150,0.720241129398346,0.5951235294342041,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch,150,1.14224112033844,0.7982640266418457,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave,150,1.0672130584716797,0.7359352111816406,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll_rate,150,0.7637988328933716,0.5899261832237244,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch_rate,150,1.155511736869812,0.8077600598335266,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave_rate,150,1.094360113143921,0.7313986420631409,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_gaussian,0,roll,10,0.3645939230918884,0.28106972575187683,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch,10,0.8960239887237549,0.6330350637435913,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave,10,0.6342137455940247,0.4356781840324402,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll_rate,10,0.39602354168891907,0.2863050103187561,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch_rate,10,1.3218932151794434,1.0206102132797241,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave_rate,10,0.6628327965736389,0.43491658568382263,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll,20,0.43448013067245483,0.38347285985946655,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch,20,0.9849168062210083,0.7242522835731506,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave,20,0.7149373292922974,0.5024927258491516,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll_rate,20,0.4483295679092407,0.3339018225669861,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch_rate,20,1.4127660989761353,1.1489170789718628,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave_rate,20,0.7235811948776245,0.4853634238243103,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll,30,0.5267927050590515,0.4716223478317261,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch,30,1.0421254634857178,0.7028992772102356,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave,30,0.8377498388290405,0.5924021005630493,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll_rate,30,0.5393224954605103,0.42340831458568573,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch_rate,30,1.3652523756027222,1.0174635648727417,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave_rate,30,0.8277652859687805,0.5391661524772644,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll,50,0.5267794728279114,0.44744211435317993,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch,50,1.0690339803695679,0.7542188763618469,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave,50,0.8641677498817444,0.5821906924247742,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll_rate,50,0.5590042471885681,0.441567987203598,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch_rate,50,1.3791340589523315,1.0295984745025635,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave_rate,50,0.8682886362075806,0.5754122734069824,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll,100,0.6046088933944702,0.46533605456352234,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch,100,1.1867313385009766,0.8291002511978149,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave,100,0.9593713879585266,0.6353585720062256,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
