model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime,signal_std
dlinear_quantile_conformal,quantile,384,roll_rate,50,5.0,434304,9,0.1,0.9029988211022694,1.2789461727992661,2.0360845371818983,0.17491942830309842,0.08745971415154923,0.0,0.8881566828765105,0.9198966046824344,1,False,543600,,,,,conformal,id,1.9711142946671736
dlinear_quantile_conformal,quantile,384,roll_rate,100,10.0,434304,9,0.1,0.902038664161509,3.026954097938822,4.710239280286885,0.42221528488395255,0.21110764244197636,0.0,0.8874414580570292,0.9185344827586207,1,False,543600,,,,,conformal,id,1.972726817260997
dlinear_quantile_conformal,quantile,384,roll_rate,150,15.0,434304,9,0.1,0.9015758547008547,4.465530034973518,7.0248550871445925,0.6329499128015366,0.31647495640076834,0.0,0.8862915146993811,0.918077372071176,1,False,543600,,,,,conformal,id,1.9741281062750025
dlinear_quantile_conformal,quantile,384,pitch_rate,10,1.0,434304,9,0.1,0.9018038056292367,0.11174315694622616,0.2429111421264802,0.02393896778886271,0.011969483894431355,0.0,0.8837039262820513,0.9184266665745653,1,False,543600,,,,,conformal,id,0.923617350427682
dlinear_quantile_conformal,quantile,384,pitch_rate,20,2.0,434304,9,0.1,0.9018590664603595,0.7149221611181121,1.292343668229426,0.1283060483592567,0.06415302417962834,0.0,0.8861283801208371,0.9168850620763337,1,False,543600,,,,,conformal,id,0.9237371608217294
dlinear_quantile_conformal,quantile,384,pitch_rate,30,3.0,434304,9,0.1,0.9012880378720896,1.4472914816384026,2.389261899299011,0.23916806823042294,0.11958403411521151,0.0,0.8857386185713233,0.9156056587091069,1,False,543600,,,,,conformal,id,0.9238676654473804
dlinear_quantile_conformal,quantile,384,pitch_rate,50,5.0,434304,9,0.1,0.9022574049513705,1.7011428654558425,2.7710047352017337,0.2600443768288546,0.13002218841442725,0.0,0.8866709724064249,0.9171530195439139,1,False,543600,,,,,conformal,id,0.923797316378609
dlinear_quantile_conformal,quantile,384,pitch_rate,100,10.0,434304,9,0.1,0.9031715111995284,3.104085763518288,4.6470635748445295,0.4804008521166393,0.2402004260583197,0.0,0.8892461271367521,0.9164397518788682,1,False,543600,,,,,conformal,id,0.9237004804982916
dlinear_quantile_conformal,quantile,384,pitch_rate,150,15.0,434304,9,0.1,0.9035652446212791,3.221209316962078,4.696353726404238,0.4783895979716516,0.2391947989858259,0.0,0.8908934755378721,0.9162854244952844,1,False,543600,,,,,conformal,id,0.9234069683655248
dlinear_quantile_conformal,quantile,384,heave_rate,10,1.0,434304,9,0.1,0.9019488653109343,0.02226909982778988,0.03336245857270208,0.0032702208457114417,0.0016351104228557207,0.0,0.888971607445476,0.9146843570402299,1,False,543600,,,,,conformal,id,0.4495602477358838
dlinear_quantile_conformal,quantile,384,heave_rate,20,2.0,434304,9,0.1,0.9005028735632183,0.156936569127281,0.23793293587360692,0.021772140849499303,0.010886070424749638,0.0,0.8875568150419982,0.9137572990347775,1,False,543600,,,,,conformal,id,0.4496058601569564
dlinear_quantile_conformal,quantile,384,heave_rate,30,3.0,434304,9,0.1,0.9003624189507811,0.4022579005050111,0.6153297008720138,0.057264888846357304,0.028632444423178617,0.0,0.8872664078617742,0.9142154458628058,1,False,543600,,,,,conformal,id,0.4496495382799816
dlinear_quantile_conformal,quantile,384,heave_rate,50,5.0,434304,9,0.1,0.902075504715591,0.5078267693899436,0.7621404598262571,0.07578722821413927,0.037893614107069644,0.0,0.8892825647472739,0.9154653192234011,1,False,543600,,,,,conformal,id,0.4495925540262867
dlinear_quantile_conformal,quantile,384,heave_rate,100,10.0,434304,9,0.1,0.902552129384026,1.1355993447523423,1.6172876452231317,0.17125849651378092,0.08562924825689047,0.0,0.8907555537135279,0.914549601201002,1,False,543600,,,,,conformal,id,0.4493860488108614
dlinear_quantile_conformal,quantile,384,heave_rate,150,15.0,434304,9,0.1,0.9026258104921898,1.4748543202328006,2.1006145513661556,0.22567165203953657,0.11283582601976823,0.0,0.8910989767536104,0.9147145778072502,1,False,543600,,,,,conformal,id,0.4491394554432332
dlinear_quantile_conformal,quantile,384,roll,10,1.0,434304,9,0.1,0.9031231579722959,0.09764746250409172,0.16710206285869864,0.012481896087651607,0.006240948043825806,0.0,0.886688241416151,0.9208855433060713,2,False,543600,,,,,conformal,id,3.682816873957597
dlinear_quantile_conformal,quantile,384,roll,20,2.0,434304,9,0.1,0.9015413166814029,0.6371146197393753,1.1126181285968522,0.08162345866063382,0.04081172933031691,0.0,0.8848188711133215,0.9195665939065724,2,False,543600,,,,,conformal,id,3.683691963859013
dlinear_quantile_conformal,quantile,384,roll,30,3.0,434304,9,0.1,0.9014423076923077,1.7565009689161015,3.133039966418908,0.2370952680155288,0.11854763400776433,0.0,0.8843724672119069,0.919455726864132,2,False,543600,,,,,conformal,id,3.6845301229084
dlinear_quantile_conformal,quantile,384,roll,50,5.0,434304,9,0.1,0.898969385499558,2.2398836392182906,4.007822458630697,0.32211904114567597,0.161059520572838,0.0,0.8820580745284409,0.9172777593575008,2,False,543600,,,,,conformal,id,3.685983647312865
