control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
shuffle,unseen_seastate,shuffled,window_mean,roll_rate_imu,10,1.0,-3.450270604295131,-3.449113929516302,-0.000259978682756401,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate_imu,20,2.0,-0.2529320254027081,-0.2514769324641912,-0.0011627005666430268,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate_imu,30,3.0,0.3750030378766851,0.3775324355012276,-0.0040635010863245835,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate_imu,50,5.0,0.7138147421283875,0.7143689635938032,-0.0019403404909668076,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate_imu,100,10.0,0.1466153064858865,0.14834845752121384,-0.0020350471394472436,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate_imu,150,15.0,0.4033216807525124,0.4050338318235115,-0.0028777284534458047,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate_imu,10,1.0,-0.8249118573468297,-0.825213912971597,0.0001654905338056567,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate_imu,20,2.0,0.41327324999510573,0.41331966196131775,-7.910946251787898e-05,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate_imu,30,3.0,0.6390256902524496,0.6385615095791666,0.0012842591079399446,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate_imu,50,5.0,0.6737060118995758,0.6732249794019856,0.0014720601859650184,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate_imu,100,10.0,0.39543743152271704,0.3973688978629618,-0.0032050558515739347,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate_imu,150,15.0,0.5155912848655112,0.5157231800396587,-0.0002723549191518959,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate_imu,10,1.0,-2.151456485875326,-2.1452696299718017,-0.001967035145276075,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate_imu,20,2.0,0.07616146344797592,0.07479939590064666,0.0014721861845898854,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate_imu,30,3.0,0.505804346164707,0.5026257070646052,0.006390839143177729,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate_imu,50,5.0,0.7092162371397703,0.7082673808951635,0.0032524859493543445,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate_imu,100,10.0,0.13044627665099295,0.13117093345904396,-0.0008340614235387012,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate_imu,150,15.0,0.5270765876433403,0.5270212749777701,0.00011694535640616177,0.02,True,True
untrained,unseen_seastate,untrained,persistence,roll_imu,10,1.0,-4.479831909841379,0.0,-4.479831909841379,0.0,True,True
untrained,unseen_seastate,untrained,persistence,roll_imu,20,2.0,-0.28717244187112034,0.0,-0.28717244187112034,0.0,True,True
untrained,unseen_seastate,untrained,persistence,roll_imu,30,3.0,0.3434363085256149,0.0,0.3434363085256149,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll_imu,50,5.0,0.7640856154959377,0.0,0.7640856154959377,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll_imu,100,10.0,0.24969795839258568,0.0,0.24969795839258568,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll_imu,150,15.0,0.42163933245953866,0.0,0.42163933245953866,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_imu,10,1.0,-1.5552642700063917,0.0,-1.5552642700063917,0.0,True,True
untrained,unseen_seastate,untrained,persistence,pitch_imu,20,2.0,-0.029581813069857743,0.0,-0.029581813069857743,0.0,True,True
untrained,unseen_seastate,untrained,persistence,pitch_imu,30,3.0,0.28598637994147325,0.0,0.28598637994147325,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_imu,50,5.0,0.6634553713427762,0.0,0.6634553713427762,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_imu,100,10.0,0.1895636532703151,0.0,0.1895636532703151,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_imu,150,15.0,0.3127790291949434,0.0,0.3127790291949434,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_imu,10,1.0,-2.9720905885459787,0.0,-2.9720905885459787,0.0,True,True
untrained,unseen_seastate,untrained,persistence,heave_imu,20,2.0,0.1634500447004067,0.0,0.1634500447004067,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_imu,30,3.0,0.5440308254912266,0.0,0.5440308254912266,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_imu,50,5.0,0.5654812762134411,0.0,0.5654812762134411,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_imu,100,10.0,0.19757147280870613,0.0,0.19757147280870613,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_imu,150,15.0,0.4798272763751922,0.0,0.4798272763751922,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll_rate_imu,10,1.0,-2.450702559796754,0.0,-2.450702559796754,0.0,True,True
untrained,unseen_seastate,untrained,persistence,roll_rate_imu,20,2.0,-0.14738664981738903,0.0,-0.14738664981738903,0.0,True,True
untrained,unseen_seastate,untrained,persistence,roll_rate_imu,30,3.0,0.19084933606949117,0.0,0.19084933606949117,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll_rate_imu,50,5.0,0.7447555327686082,0.0,0.7447555327686082,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll_rate_imu,100,10.0,0.002832250939540648,0.0,0.002832250939540648,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll_rate_imu,150,15.0,0.34539485708060946,0.0,0.34539485708060946,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_rate_imu,10,1.0,-1.8102741867057466,0.0,-1.8102741867057466,0.0,True,True
untrained,unseen_seastate,untrained,persistence,pitch_rate_imu,20,2.0,0.46331093287730973,0.0,0.46331093287730973,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_rate_imu,30,3.0,0.06680321788510446,0.0,0.06680321788510446,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_rate_imu,50,5.0,0.5809887751305853,0.0,0.5809887751305853,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_rate_imu,100,10.0,0.25283148438741854,0.0,0.25283148438741854,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch_rate_imu,150,15.0,0.46165507128648386,0.0,0.46165507128648386,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_rate_imu,10,1.0,-1.424416034086227,0.0,-1.424416034086227,0.0,True,True
untrained,unseen_seastate,untrained,persistence,heave_rate_imu,20,2.0,0.2591893070777823,0.0,0.2591893070777823,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_rate_imu,30,3.0,0.29984773691992495,0.0,0.29984773691992495,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_rate_imu,50,5.0,0.6202180584794469,0.0,0.6202180584794469,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave_rate_imu,100,10.0,-0.20978565176563602,0.0,-0.20978565176563602,0.0,True,True
untrained,unseen_seastate,untrained,persistence,heave_rate_imu,150,15.0,0.07800174921931369,0.0,0.07800174921931369,0.0,True,False
