model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar20,id,pitch,100,10.0,1,True,434304,1.052178406720438,,0.6967854700580998,,1.5591545468409598,0.544592227572446,,0.5313784983378503,0.5574121991390497,108900,0.05440116099634906
ar20,id,pitch,150,15.0,1,True,434304,1.2233875993081706,,0.793016963582708,,1.785131912400982,0.5303357320163543,,0.5092764580512947,0.5484360111177092,108900,0.05440116099634906
ar20,id,pitch_rate,10,1.0,1,True,434304,0.027161750254103754,,0.01765395838902359,,0.7528444431836472,0.9986983176834632,,0.9985427452167528,0.9988440758588981,108900,0.05440116099634906
ar20,id,pitch_rate,20,2.0,1,True,434304,0.13376550320587327,,0.09029938329547986,,1.3414123591158549,0.9900559420054782,,0.9890394795228851,0.9910029384453958,108900,0.05440116099634906
ar20,id,pitch_rate,30,3.0,1,True,434304,0.24512101586457816,,0.16857197867148932,,1.664055642972382,0.9783017150998154,,0.9760614959352741,0.9802281236055812,108900,0.05440116099634906
ar20,id,pitch_rate,50,5.0,1,True,434304,0.42834731968970896,,0.2773281543335446,,1.549273352583568,0.9235573022777732,,0.9141679816333433,0.9316726020633076,108900,0.05440116099634906
ar20,id,pitch_rate,100,10.0,1,True,434304,0.8200528363796824,,0.5488349571907382,,1.2730898977022085,0.5850788945182084,,0.5704945354912058,0.5987506864678671,108900,0.05440116099634906
ar20,id,pitch_rate,150,15.0,1,True,434304,0.909209941405751,,0.5860416870449017,,1.3079980284130317,0.5168141888175433,,0.501812127433537,0.5304572596290068,108900,0.05440116099634906
ar20,id,roll,10,1.0,1,True,434304,0.007407291537019038,,0.005034348942786689,,1.9446628367671026,0.9999854912416798,,0.9999815710480318,0.9999882270546664,108900,0.05440116099634906
ar20,id,roll,20,2.0,1,True,434304,0.057778911415372065,,0.04014600719207991,,3.7444545258092843,0.9997618987973158,,0.999702145253707,0.999802704376318,108900,0.05440116099634906
ar20,id,roll,30,3.0,1,True,434304,0.19053478560360976,,0.13505666060924787,,5.26736094690192,0.9986915341501795,,0.9983923950103223,0.9988911485726335,108900,0.05440116099634906
ar20,id,roll,50,5.0,1,True,434304,0.6168259034773231,,0.43650712951428955,,7.0875605548865055,0.9924258894070032,,0.9909890590813978,0.9933893160392178,108900,0.05440116099634906
ar20,id,roll,100,10.0,1,True,434304,1.0290851586848349,,0.7310633910344811,,3.793711335438843,0.9264175802617908,,0.9135720981845766,0.9351693663210222,108900,0.05440116099634906
ar20,id,roll,150,15.0,1,True,434304,1.587596335057688,,1.095714028499779,,5.251935256462554,0.9086220421539419,,0.8976445887107848,0.9169949542683008,108900,0.05440116099634906
ar20,id,roll_rate,10,1.0,1,True,434304,0.020934869065559105,,0.014309206226670238,,1.067513758350997,0.9996154139421745,,0.9995190955304032,0.9996837493175731,108900,0.05440116099634906
ar20,id,roll_rate,20,2.0,1,True,434304,0.0883289724718105,,0.062134898972125666,,2.0483978110523133,0.9981405789185513,,0.9977303950813883,0.9984300648745782,108900,0.05440116099634906
ar20,id,roll_rate,30,3.0,1,True,434304,0.18159102356685514,,0.13000060900472807,,2.8659956780901075,0.9959854424234351,,0.9952006309086154,0.9965180608415032,108900,0.05440116099634906
ar20,id,roll_rate,50,5.0,1,True,434304,0.26862733795957366,,0.18614094068115358,,3.798345550151574,0.9949983710120771,,0.9942266443695631,0.995581300287256,108900,0.05440116099634906
ar20,id,roll_rate,100,10.0,1,True,434304,0.6690683619428439,,0.4612852864585659,,1.958738621708589,0.8833222583272771,,0.8680907593338126,0.8951643322726396,108900,0.05440116099634906
ar20,id,roll_rate,150,15.0,1,True,434304,1.0068549256804218,,0.6805717446776743,,2.8980935747304644,0.8792995219921707,,0.8668886275834371,0.8895550462872128,108900,0.05440116099634906
ar40,id,heave,10,1.0,1,True,434304,0.0013307321652662391,,0.00092468633514708,,0.44174333995484594,0.9999909251117074,,0.9999897462041414,0.9999918503157808,216900,0.19142483600444393
ar40,id,heave,20,2.0,1,True,434304,0.011533761054405525,,0.008039288256133191,,0.8382135080550518,0.9998106642653772,,0.9997868184677453,0.9998295131049222,216900,0.19142483600444393
ar40,id,heave,30,3.0,1,True,434304,0.04409069422415154,,0.030597740700021046,,1.1513183823181896,0.9985334293261766,,0.9983578919684066,0.9986811646968102,216900,0.19142483600444393
ar40,id,heave,50,5.0,1,True,434304,0.18713885227971533,,0.1260586141271648,,1.4421558821616272,0.9831614957095208,,0.9812562744846148,0.9848579173293388,216900,0.19142483600444393
ar40,id,heave,100,10.0,1,True,434304,0.4487330088591034,,0.3050591585299466,,0.8335183990732865,0.7101684541637605,,0.6789571462334464,0.7352909941966029,216900,0.19142483600444393
ar40,id,heave,150,15.0,1,True,434304,0.6177172011429137,,0.4219377961722832,,1.106452908012778,0.688316708962653,,0.6640432597920276,0.7090331222217281,216900,0.19142483600444393
ar40,id,heave_rate,10,1.0,1,True,434304,0.003825770702765254,,0.0026630718928612215,,0.2852226587419099,0.9998200839837197,,0.999801745033754,0.9998362635644825,216900,0.19142483600444393
ar40,id,heave_rate,20,2.0,1,True,434304,0.019257409272729016,,0.013399083503051043,,0.5351982235990471,0.9987053082090437,,0.9985768463254572,0.998823470508102,216900,0.19142483600444393
ar40,id,heave_rate,30,3.0,1,True,434304,0.048837701451833665,,0.03348472407204859,,0.7216245802205107,0.995419764636221,,0.9949687281252577,0.995834770940464,216900,0.19142483600444393
ar40,id,heave_rate,50,5.0,1,True,434304,0.10016883881471313,,0.06652297149978127,,0.8524864976952896,0.9861932881661295,,0.9847297721226782,0.9875102915114163,216900,0.19142483600444393
ar40,id,heave_rate,100,10.0,1,True,434304,0.2732464493650378,,0.18624224749454135,,0.47861232963563727,0.6740572766440969,,0.6583485491612188,0.6900394684826618,216900,0.19142483600444393
ar40,id,heave_rate,150,15.0,1,True,434304,0.3928849228093473,,0.2671773170338072,,0.6814233587032514,0.6675726924741634,,0.643200876074507,0.6893247653187541,216900,0.19142483600444393
ar40,id,pitch,10,1.0,1,True,434304,0.006919118190659399,,0.004493873840438121,,0.8963189522817477,0.9999404095946844,,0.9999315941653566,0.9999478599325176,216900,0.19142483600444393
ar40,id,pitch,20,2.0,1,True,434304,0.06842668353029888,,0.04618794382944359,,1.6396866224861668,0.9982584767542435,,0.998055495400956,0.9984406048623025,216900,0.19142483600444393
ar40,id,pitch,30,3.0,1,True,434304,0.23217480609595476,,0.16176652130751923,,2.1223575061775537,0.9880327848275617,,0.9868181991398268,0.9890611911561211,216900,0.19142483600444393
ar40,id,pitch,50,5.0,1,True,434304,0.5522760316376435,,0.3894936164017967,,2.2343246831224586,0.9389030086341367,,0.9332927033363461,0.943502390084516,216900,0.19142483600444393
ar40,id,pitch,100,10.0,1,True,434304,1.0146505391089782,,0.6806786057116977,,1.5591545468409598,0.5764987955520691,,0.5654533445318696,0.5878197633238221,216900,0.19142483600444393
ar40,id,pitch,150,15.0,1,True,434304,1.2131380470011983,,0.7916509583828891,,1.785131912400982,0.538172468715655,,0.5175950565886286,0.5566720968355328,216900,0.19142483600444393
ar40,id,pitch_rate,10,1.0,1,True,434304,0.022192416372295454,,0.014557028061119026,,0.7528444431836472,0.9991310422005445,,0.9990364696647597,0.9992180551267686,216900,0.19142483600444393
ar40,id,pitch_rate,20,2.0,1,True,434304,0.11421743804335026,,0.07832116929541774,,1.3414123591158549,0.9927499630132018,,0.9921180215764648,0.9933248641829879,216900,0.19142483600444393
ar40,id,pitch_rate,30,3.0,1,True,434304,0.2206727396556255,,0.15539594853053176,,1.664055642972382,0.9824142179984857,,0.9808929185594257,0.9837669050151869,216900,0.19142483600444393
