source_experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,matched_n_samples,matched_lookback,matched_stride,matched_max_horizon,matched_lookbacks,matched_n_origins,matched_origin_first,matched_origin_last,matched_origin_stride,matched_windows_before
deep,damped_persistence,heave,50,5.0,418944,0.8061513413138338,0.5096543160037598,1.441163548726843,0.6870992357930203,0.7589656362018378,1.0621710692306596,384,0.6810238116915648,0.6933028212955815,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,heave,100,10.0,418944,0.7310276092176256,0.47209778324750373,0.834510527562901,0.2326315850850128,0.7592839391596414,0.9627855555942756,384,0.16436711472345114,0.2889288005597324,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,heave,150,15.0,418944,0.790454357438764,0.5002921299695807,1.1055277079321404,0.48877235315000955,0.759468366891061,1.040799580204435,384,0.45975081112176314,0.517007420560828,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll_rate,10,1.0,418944,1.3503175095764595,0.7284450569197222,1.0679896361750225,-0.598592318540802,1.9709759416747037,0.6851009598976223,384,-0.6211424336088751,-0.5737457122341915,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll_rate,20,2.0,418944,1.98426719252875,1.0652228220240718,2.04926284907427,0.06242726339539195,1.9713738906856482,1.0065402620497412,384,0.04929612958085347,0.07678488500903535,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll_rate,30,3.0,418944,2.2040496475616806,1.176196767680514,2.8671756232230625,0.40907256310565143,1.971717923838755,1.11783213050607,384,0.40125320146909393,0.41756071020903845,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll_rate,50,5.0,418944,2.0789542935640344,1.1034442510539695,3.8003090696362802,0.7007376745071964,1.9722164496629107,1.0541207553153547,384,0.698182727468863,0.7032552974970822,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll_rate,100,10.0,418944,1.8532737975449172,1.0049028885272249,1.9637399394759982,0.1093414838002954,1.9739519724102126,0.9388646853864705,384,0.07090100152973673,0.14672648180733283,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll_rate,150,15.0,418944,2.1791557522765603,1.145213492555628,2.896430496995325,0.43395583122386494,1.975553636862926,1.1030607884364727,384,0.41390009968723784,0.45280851427401847,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,pitch_rate,10,1.0,418944,0.7859156325789199,0.496026665646414,0.7531298125402182,-0.088960623023709,0.9234044534650131,0.8511066084095917,384,-0.11743014314364018,-0.0625129883800755,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
