reading,model,head,regime,dof,horizon_samples,horizon_s,n_seeds,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,band_lo,band_hi,verdict,mean_interval_width_mean,width_ratio_mean,crossing_rate_mean,n_params
B,dlinear_quantile,quantile,id,heave_rate,20,2.0,3,0.9166935295706848,0.0054240504511585,0.900654437905246,0.9339902464633068,0.85,0.95,PASS,0.1766300726036571,0.1194195504068583,0.334433944886531,542700
B,dlinear_quantile,quantile,id,heave_rate,30,3.0,3,0.907610030454858,0.0012856565221643,0.8936929547045388,0.9218119105511348,0.85,0.95,PASS,0.4213501827942366,0.2848470869523333,0.1211225316828765,542700
B,dlinear_quantile,quantile,id,heave_rate,50,5.0,3,0.9042844029374204,0.0008457743886821,0.8912508864758326,0.918393164695697,0.85,0.95,PASS,0.5140552577170064,0.3475629245974419,0.0696869780921505,542700
B,dlinear_quantile,quantile,id,heave_rate,100,10.0,3,0.8933611786521269,0.0003085768682278,0.8803522993110816,0.9064129618884468,0.85,0.95,PASS,1.084552777828992,0.7336245446368276,0.0013247249238628,542700
B,dlinear_quantile,quantile,id,heave_rate,150,15.0,3,0.8828078949307397,0.0001846196331177,0.8691321631852343,0.8965208701738875,0.85,0.95,PASS,1.3468054087233032,0.911520397023484,0.0,542700
B,dlinear_quantile,quantile,id,pitch,10,1.0,3,0.8644989070635622,0.0106632425509189,0.8354639261899499,0.8931446636457412,0.85,0.95,PASS,0.0795151794697094,0.0194719860260037,0.5775923469888987,542700
B,dlinear_quantile,quantile,id,pitch,20,2.0,3,0.8507765681795855,0.0064774331661294,0.8269563485484821,0.8760728084475391,0.85,0.95,PASS,0.4949051480719162,0.121188195310372,0.3808185050103154,542700
B,dlinear_quantile,quantile,id,pitch,30,3.0,3,0.8602814311327243,0.0019757442198676,0.841127010112732,0.8789429754273504,0.85,0.95,PASS,1.1724459178861315,0.2870939528406139,0.1899514318695353,542700
B,dlinear_quantile,quantile,id,pitch,50,5.0,3,0.8602783610865506,0.0007565651362108,0.8424322018678161,0.8774658418987622,0.85,0.95,PASS,1.4267138746087211,0.3493228665344488,0.089553246880833,542700
B,dlinear_quantile,quantile,id,pitch,100,10.0,3,0.8575529275960311,0.0002194224091828,0.8410176972811672,0.8741258427276746,0.85,0.95,PASS,3.010102691957608,0.7372045518836033,0.0034092862756655,542700
B,dlinear_quantile,quantile,id,pitch,150,15.0,3,0.8757483237547893,0.000106216498993,0.8610073819260241,0.8905174716327734,0.85,0.95,PASS,3.7379680709749272,0.9159679834254764,0.0,542700
B,dlinear_quantile,quantile,id,pitch_rate,10,1.0,3,0.806487314569211,0.009911605083318,0.7715045221780136,0.8411681103558798,0.85,0.95,FAIL,0.0654603434580966,0.0215441291819673,0.5965782800373317,542700
B,dlinear_quantile,quantile,id,pitch_rate,20,2.0,3,0.7931095883682091,0.0059291631837224,0.7634488169577069,0.8240617171382257,0.85,0.95,FAIL,0.3875086848750859,0.1275192567685491,0.4261155012771391,542700
B,dlinear_quantile,quantile,id,pitch_rate,30,3.0,3,0.8094330238726791,0.0019860305535239,0.7844255406351311,0.8333060482979664,0.85,0.95,FAIL,0.8914415298410582,0.2933093064006676,0.2538836084094705,542700
B,dlinear_quantile,quantile,id,pitch_rate,50,5.0,3,0.8124685320267216,0.0008349231021261,0.7889345942012969,0.8348306716033009,0.85,0.95,FAIL,1.0659142531705303,0.3507424415279241,0.1230535907260045,542700
B,dlinear_quantile,quantile,id,pitch_rate,100,10.0,3,0.8315266111602319,0.000236347450332,0.8111591189581491,0.850661690889331,0.85,0.95,FAIL,2.2444659243047664,0.7386260056604842,0.013377726201002,542700
B,dlinear_quantile,quantile,id,pitch_rate,150,15.0,3,0.8733045670006877,0.0001495111698492,0.8576859757220748,0.8887248908598585,0.85,0.95,PASS,2.786841461088587,0.917406606061648,3.837557716868061e-06,542700
