model,head,regime,dof,horizon_samples,horizon_s,picp_id,picp_ood,picp_delta,width_id,width_ood,width_delta,width_ratio_id,width_ratio_ood
dlinear_quantile,quantile,unseen_heading,pitch_rate,150,15.0,0.8733045670006877,1.0,0.1266954329993123,2.786841461088587,3.281018050982061,0.4941765898934736,0.917406606061648,15.173537508718905
dlinear_quantile,quantile,unseen_heading,roll,10,1.0,0.9726650763827488,0.9502247273798998,-0.02244034900284897,0.2271936179897972,0.2089625751872576,-0.018231042802539593,0.0187524817213108,0.0125615610226386
dlinear_quantile,quantile,unseen_heading,roll,20,2.0,0.9667583075449456,0.9111006729541212,-0.0556576345908244,1.4342212417394016,1.3112764636510343,-0.12294477808836723,0.1183519972548147,0.0788042163222685
dlinear_quantile,quantile,unseen_heading,roll,30,3.0,0.9608975893997446,0.9036944935651832,-0.0572030958345614,3.4218405392670364,3.046824417062238,-0.3750161222047983,0.2823061915854183,0.1830837047567604
dlinear_quantile,quantile,unseen_heading,roll,50,5.0,0.9624364500442087,0.9026623440416544,-0.059774106002554395,4.173396812062102,3.675497506529705,-0.4978993055323975,0.3441747640445503,0.2208631038772913
dlinear_quantile,quantile,unseen_heading,roll,100,10.0,0.959621217703114,0.8895931574810886,-0.07002806022202546,8.808554880329238,7.6176100621183105,-1.1909448182109275,0.7256250912301239,0.4574190147692552
dlinear_quantile,quantile,unseen_heading,roll,150,15.0,0.9422332436879852,0.8565465664603596,-0.08568667722762557,10.93871965952281,9.27996215741168,-1.658757502111131,0.9002111585645854,0.5569226032499517
dlinear_quantile,quantile,unseen_heading,roll_rate,10,1.0,0.9739422155909224,0.9447895176343452,-0.029152697956577267,0.1215498651890943,0.1107737574533632,-0.010776107735731108,0.0187599033745629,0.0123195295500975
dlinear_quantile,quantile,unseen_heading,roll_rate,20,2.0,0.9687262071421556,0.9029865409175754,-0.06573966622458027,0.7672861806706909,0.6949195934296375,-0.07236658724105338,0.1184014493103938,0.077285296261084
dlinear_quantile,quantile,unseen_heading,roll_rate,30,3.0,0.9635347590627764,0.8938101729050004,-0.06972458615777599,1.830673174642648,1.6147206492236637,-0.21595252541898424,0.2824434709312359,0.1795556166207434
dlinear_quantile,quantile,unseen_heading,roll_rate,50,5.0,0.9642723376559582,0.8915942135769722,-0.072678124078986,2.232449428446292,1.9477542827068983,-0.2846951457393938,0.3442806146740005,0.2164802106182028
dlinear_quantile,quantile,unseen_heading,roll_rate,100,10.0,0.9576594581982512,0.8702862511052166,-0.08737320709303453,4.7125856439969445,4.03733272834095,-0.6752529156559941,0.7261645690545233,0.448539527017233
dlinear_quantile,quantile,unseen_heading,roll_rate,150,15.0,0.9398693081343944,0.8364248698300423,-0.10344443830435213,5.852239654834129,4.918380807486624,-0.9338588473475049,0.9011342953965712,0.546231032386003
lstm_gaussian,gaussian,unseen_heading,heave,10,1.0,0.9934554290696532,0.1062549120738775,-0.8872005169957757,0.0301433171219693,0.0817854083672479,0.051642091245278604,0.0120692614954004,0.0318947538679961
lstm_gaussian,gaussian,unseen_heading,heave,20,2.0,0.9909272460457806,0.0733470871401906,-0.9175801589055901,0.0342384879999503,0.0950317488168113,0.060793260816861,0.013708214619618,0.0370573289975841
lstm_gaussian,gaussian,unseen_heading,heave,30,3.0,0.97694702328323,0.0949319677767953,-0.8820150555064348,0.0489591263098243,0.1350854355064599,0.08612630919663561,0.0196019142667925,0.0526724602345018
lstm_gaussian,gaussian,unseen_heading,heave,50,5.0,0.939813279791728,0.424339326063464,-0.515473953728264,0.1511431787546298,0.4208326444750327,0.2696894657204029,0.0605079336011432,0.1640594677776199
lstm_gaussian,gaussian,unseen_heading,heave,100,10.0,0.920979314028883,0.6335199921406818,-0.2874593218882012,0.5193563668682172,1.3275751383061305,0.8082187714379133,0.2079651833186939,0.5174820651304957
lstm_gaussian,gaussian,unseen_heading,heave,150,15.0,0.9098173936536006,0.657487842617153,-0.2523295510364476,1.0591005866672158,2.119320695241784,1.060220108574568,0.4243355744164711,0.8260231294968355
lstm_gaussian,gaussian,unseen_heading,heave_rate,10,1.0,0.9894766492288044,0.0686161459868356,-0.9208605032419688,0.0214805084525079,0.0597516479779422,0.038271139525434296,0.0145244401972936,0.0404509745699465
lstm_gaussian,gaussian,unseen_heading,heave_rate,20,2.0,0.982423218145201,0.0799218980253463,-0.9025013201198546,0.026105882732635,0.0705876085824531,0.04448172584981809,0.0176501811551703,0.0477818504300112
lstm_gaussian,gaussian,unseen_heading,heave_rate,30,3.0,0.963827948472345,0.2020882454072109,-0.761739703065134,0.0434630902893149,0.1189533237948424,0.0754902335055275,0.0293825306464942,0.0805135907212163
lstm_gaussian,gaussian,unseen_heading,heave_rate,50,5.0,0.9350362879457706,0.2565177080263287,-0.678518579919442,0.0940157680583296,0.2530476895438595,0.15903192148552986,0.0635659198385566,0.1712656264843652
lstm_gaussian,gaussian,unseen_heading,heave_rate,100,10.0,0.9177196925041752,0.5321120689655172,-0.38560762353865796,0.3793808417321777,0.8732044793832371,0.4938236376510594,0.256624760868567,0.5910039671549487
